slug,title,discoteca_slug,subtitle,description,event_type,start_at,end_at,door_open_at,currency,price_from,price_to,tickets_url,poster_url,status,active,source,metadata
ushuaia-20260501-calvin-harris,Calvin Harris @ 01 May 2026,ushuaia,Calvin Harris,Calvin Harris en ushuaia - 01/05/2026,event,2026-05-01T23:59:00Z,2026-05-02T06:00:00Z,2026-05-01T23:00:00Z,EUR,80,200,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260501-dom-dolla,Dom Dolla @ 01 May 2026,hi-ibiza,Dom Dolla & Friends,Dom Dolla en hi-ibiza - 01/05/2026,event,2026-05-01T23:59:00Z,2026-05-02T06:00:00Z,2026-05-01T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260501-music-on,Music On @ 01 May 2026,pacha,Marco Carola,Music On en pacha - 01/05/2026,event,2026-05-01T23:59:00Z,2026-05-02T06:00:00Z,2026-05-01T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260501-galactic-circus,Galactic Circus @ 01 May 2026,unvrs,David Guetta,Galactic Circus en unvrs - 01/05/2026,event,2026-05-01T23:59:00Z,2026-05-02T06:00:00Z,2026-05-01T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260501-glitterbox,Glitterbox @ 01 May 2026,amnesia,Armand Van Helden,Glitterbox en amnesia - 01/05/2026,event,2026-05-01T23:59:00Z,2026-05-02T06:00:00Z,2026-05-01T23:00:00Z,EUR,60,140,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
eden-20260501-viva-warriors,Viva Warriors @ 01 May 2026,eden,Lineup TBA,Viva Warriors en eden - 01/05/2026,event,2026-05-01T23:59:00Z,2026-05-02T06:00:00Z,2026-05-01T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260502-ants,ANTS @ 02 May 2026,ushuaia,Lineup estelar,ANTS en ushuaia - 02/05/2026,event,2026-05-02T23:59:00Z,2026-05-03T06:00:00Z,2026-05-02T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260502-black-coffee,Black Coffee @ 02 May 2026,hi-ibiza,Black Coffee & Friends,Black Coffee en hi-ibiza - 02/05/2026,event,2026-05-02T23:59:00Z,2026-05-03T06:00:00Z,2026-05-02T23:00:00Z,EUR,65,150,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260502-robin-schulz,Robin Schulz @ 02 May 2026,pacha,Robin Schulz & Friends,Robin Schulz en pacha - 02/05/2026,event,2026-05-02T23:59:00Z,2026-05-03T06:00:00Z,2026-05-02T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260502-elrow,elrow @ 02 May 2026,unvrs,Enter the Wortex,elrow en unvrs - 02/05/2026,event,2026-05-02T23:59:00Z,2026-05-03T06:00:00Z,2026-05-02T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
