slug,name,cuisine_type,price_level,location_name,address,zone,phone,whatsapp,email,website_url,instagram_url,reservation_url,image_url,latitude,longitude,short_description,full_description,active,source,metadata
cala-bonita,Cala Bonita,ARROZ,ALTO,Portinatx,"Cala Portinatx, 07870",portinatx,+34973311701,+34666777001,info@calabonita.com,https://calabonita.com,calabonitaibiza,https://calabonita.com/reservas,https://images.ibizaglam.app/calabonita.jpg,39.0731,1.5147,"Arroces frente al mar","El mejor arroz de Ibiza con vistas al Mediterráneo.",true,manual,{}
el-bigotes,El Bigotes,MARISCO,MEDIO,San Antonio,"Passeig de la Mar, 07820",san-antonio,+34973311702,+34666777002,info@elbigotes.com,https://elbigotes.com,elbigotesibiza,https://elbigotes.com/reservas,https://images.ibizaglam.app/elbigotes.jpg,38.9805,1.3062,"Marisco fresco en el puerto","El clásico de San Antonio para comer marisco fresco.",true,manual,{}
can-dani,Can Dani,MEDITERRANEO,ALTO,San Rafael,"Ctra. Ibiza a San Rafael, 07816",san-rafael,+34973311703,+34666777003,info@candani.com,https://candani.com,candaniibiza,https://candani.com/reservas,https://images.ibizaglam.app/candani.jpg,38.9625,1.4231,"Estrella Michelin","Can Dani ostenta una estrella Michelin con cocina de autor.",true,manual,{}
es-tragon,Es Tragón,CARNE,ALTO,Iglesia,"C. del Calvari, 07800",ibiza-ciudad,+34973311704,+34666777004,info@estragon.com,https://estragon.com,estragonibiza,https://estragon.com/reservas,https://images.ibizaglam.app/estragon.jpg,38.9081,1.4325,"La mejor carne de Ibiza","Especialistas en carne madurada y parrilla.",true,manual,{}
amante,Amante,MEDITERRANEO,ALTO,Cala Llonga,"Cala Llonga, 07849",cala-llonga,+34973311705,+34666777005,info@amanteibiza.com,https://amanteibiza.com,amanteibiza,https://amanteibiza.com/reservas,https://images.ibizaglam.app/amante.jpg,38.9528,1.5172,"Restaurante en acantilado","Amante ofrece una experiencia única con vistas al mar.",true,manual,{}
nassau,Nassau Beach Club,INTERNACIONAL,ALTO,Playa d'en Bossa,"Playa d'en Bossa, 07817",playa-den-bossa,+34973311706,+34666777006,info@nassauibiza.com,https://nassauibiza.com,nassauibiza,https://nassauibiza.com/reservas,https://images.ibizaglam.app/nassau.jpg,38.8765,1.4012,"Beach club gastronómico","Nassau combina beach club con alta cocina.",true,manual,{}
cala-moli,Cala Molí,INTERNACIONAL,MEDIO,Cala Molí,"Cala Molí, 07830",cala-moli,+34973311707,+34666777007,info@calamoli.com,https://calamoli.com,calamoliibiza,https://calamoli.com/reservas,https://images.ibizaglam.app/calamoli.jpg,38.9722,1.2275,"Chiringuito con encanto","Cala Molí es el lugar perfecto para comer frente al mar.",true,manual,{}
sa-capella,Sa Capella,MEDITERRANEO,MEDIO,San Antonio,"Ctra. vieja de Sant Mateu, 07820",san-antonio,+34973311708,+34666777008,info@sacapella.com,https://sacapella.com,sacapellaibiza,https://sacapella.com/reservas,https://images.ibizaglam.app/sacapella.jpg,38.9794,1.3153,"Restaurante en iglesia","Sa Capella es un restaurante único ubicado en una antigua iglesia.",true,manual,{}
la-bodega,La Bodega,TAPAS,MEDIO,Ibiza ciudad,"C. de la Verge, 07800",ibiza-ciudad,+34973311709,+34666777009,info@labodegaibiza.com,https://labodegaibiza.com,labodegaibiza,https://labodegaibiza.com/reservas,https://images.ibizaglam.app/labodega.jpg,38.9081,1.4325,"Las mejores tapas","La Bodega es el sitio de referencia para tapear en Ibiza.",true,manual,{}
el-portal,El Portal,MEDITERRANEO,ALTO,Ibiza ciudad,"Passeig de ses Fonts, 07800",ibiza-ciudad,+34973311710,+34666777010,info@elportalibiza.com,https://elportalibiza.com,elportalibiza,https://elportalibiza.com/reservas,https://images.ibizaglam.app/elportal.jpg,38.9056,1.4431,"Cocina de mercado","El Portal ofrece cocina mediterránea con productos locales.",true,manual,{}
