slug,name,service_type,phone,whatsapp,email,website_url,instagram_url,base_location,covers_island,short_description,full_description,active,source,metadata
taxi-ibiza,Taxi Ibiza,TAXI,+34973311801,+34666778001,info@taxiibiza.com,https://taxiibiza.com,taxiibiza,ibiza-ciudad,true,"Radio taxi Ibiza","Servicio de taxi en toda la isla. Reserva telefónica o por app.",true,manual,{}
taxi-san-antonio,Taxi San Antonio,TAXI,+34973311802,+34666778002,info@taxisanantonio.com,https://taxisanantonio.com,taxi_san_antonio,san-antonio,true,"Radio taxi San Antonio","Taxis en la zona oeste de la isla.",true,manual,{}
taxi-playa-den-bossa,Taxi Playa d'en Bossa,TAXI,+34973311803,+34666778003,info@taxipdb.com,https://taxipdb.com,taxipdb,playa-den-bossa,false,"Taxis zona sur","Servicio de taxi para Playa d'en Bossa y alrededores.",true,manual,{}
discobus,Disco Bus,BUS,+34973311804,+34666778004,info@discobus.com,https://discobus.es,discobus_ibiza,ibiza-ciudad,true,"Bus nocturno","Servicio de autobús que conecta las discotecas con las principales zonas turísticas.",true,manual,{}
alquiler-coches,Alquiler Coches Ibiza,RENTAL,+34973311805,+34666778005,info@alquilercochesibiza.com,https://alquilercochesibiza.com,alquilercochesibiza,ibiza-ciudad,true,"Alquiler de vehículos","Alquiler de coches en toda Ibiza. Gran variedad de vehículos.",true,manual,{}
alquiler-motos,Alquiler Motos Ibiza,RENTAL,+34973311806,+34666778006,info@alquilermotosibiza.com,https://alquilermotosibiza.com,motosibiza,ibiza-ciudad,true,"Scooters y motos","Alquiler de motos y scooters para moverte con libertad.",true,manual,{}
boat-rental,Boat Rental Ibiza,BOAT,+34973311807,+34666778007,info@boatrentalibiza.com,https://boatrentalibiza.com,boatrentalibiza,ibiza-ciudad,true,"Alquiler de barcos","Alquiler de embarcaciones sin tripulación o con patrón.",true,manual,{}
yacht-charter,Yacht Charter Ibiza,BOAT,+34973311808,+34666778008,info@yachtcharteribiza.com,https://yachtcharteribiza.com,yachtcharteribiza,ibiza-ciudad,true,"Lujo en el mar","Alquiler de yates de lujo con tripulación incluida.",true,manual,{}
jet-ski,Jet Ski Ibiza,WATERSPORTS,+34973311809,+34666778009,info@jetskiibiza.com,https://jetskiibiza.com,jetskiibiza,playa-den-bossa,false,"Motos de agua","Alquiler de motos de agua y excursiones.",true,manual,{}
parasailing,Parasailing Ibiza,WATERSPORTS,+34973311810,+34666778010,info@parasailingibiza.com,https://parasailingibiza.com,parasailingibiza,playa-den-bossa,false,"Vuelo sobre el mar","Parasailing y deportes acuáticos en Playa d'en Bossa.",true,manual,{}
balearia,Balearia,FERRY,+34902100100,+34666778011,info@balearia.com,https://balearia.com,balearia,ibiza-ciudad,false,"Ferry a Formentera","La naviera principal para viajar a Formentera. Salidas desde Ibiza ciudad.",true,manual,{}
trasmediterranea,Trasmediterránea,FERRY,+34973456345,+34666778012,info@trasmediterranea.es,https://trasmediterranea.es,trasmediterranea,ibiza-ciudad,false,"Ferry histórico","Conexiones con Formentera y la península.",true,manual,{}
mediterranea-pitiusa,Mediterránea Pitiusa,FERRY,+34973311813,+34666778013,info@mediterraneapitiusa.com,https://mediterraneapitiusa.com,mediterraneapitiusa,ibiza-ciudad,false,"La línea amarilla","Ferrys rápidos a Formentera. Muy frecuentes en temporada.",true,manual,{}
aquabus,Aquabus,FERRY,+34973311814,+34666778014,info@aquabusibiza.com,https://aquabusibiza.com,aquabusibiza,ibiza-ciudad,false,"Water taxi","Taxi acuático entre las playas de Ibiza y Formentera.",true,manual,{}
formentera-express,Formentera Express,FERRY,+34973311815,+34666778015,info@formenteraexpress.com,https://formenteraexpress.com,formenteraexpress,ibiza-ciudad,false,"Rápido y económico","Ferry rápido con múltiples salidas diarias.",true,manual,{}
