slug,name,service_type,phone,whatsapp,email,website_url,instagram_url,base_location,covers_island,short_description,full_description,active,source,metadata,price_per_day_min,price_per_day_max,vehicle_types,fleet_size,airport_presence,downtown_presence,insurance_included,free_cancellation,minimum_age,rating
taxi-ibiza,Taxi Ibiza,TAXI,+34973311801,+34666778001,info@taxiibiza.com,https://taxiibiza.com,taxiibiza,ibiza-ciudad,true,"Radio taxi Ibiza","Servicio de taxi en toda la isla. Reserva telefónica o por app.",true,manual,{},,,,,,,,,,,
taxi-san-antonio,Taxi San Antonio,TAXI,+34973311802,+34666778002,info@taxisanantonio.com,https://taxisanantonio.com,taxi_san_antonio,san-antonio,true,"Radio taxi San Antonio","Taxis en la zona oeste de la isla.",true,manual,{},,,,,,,,,,,
taxi-playa-den-bossa,Taxi Playa d'en Bossa,TAXI,+34973311803,+34666778003,info@taxipdb.com,https://taxipdb.com,taxipdb,playa-den-bossa,false,"Taxis zona sur","Servicio de taxi para Playa d'en Bossa y alrededores.",true,manual,{},,,,,,,,,,,
discobus,Disco Bus,BUS,+34973311804,+34666778004,info@discobus.com,https://discobus.es,discobus_ibiza,ibiza-ciudad,true,"Bus nocturno","Servicio de autobús que conecta las discotecas con las principales zonas turísticas.",true,manual,{},,,,,,,,,,,
alquiler-coches,Alquiler Coches Ibiza,RENTAL,+34973311805,+34666778005,info@alquilercochesibiza.com,https://alquilercochesibiza.com,alquilercochesibiza,ibiza-ciudad,true,"Alquiler de vehículos","Alquiler de coches en toda Ibiza. Gran variedad de vehículos.",true,manual,{},35,120,"economico,compacto,familiar",150,true,true,false,false,21,4.2
alquiler-motos,Alquiler Motos Ibiza,RENTAL,+34973311806,+34666778006,info@alquilermotosibiza.com,https://alquilermotosibiza.com,motosibiza,ibiza-ciudad,true,"Scooters y motos","Alquiler de motos y scooters para moverte con libertad.",true,manual,{},25,80,"scooter,moto",80,false,true,false,false,18,4.0
autos-ibiza,Autos Ibiza,RENTAL,+34973311816,+34666778016,info@autosibiza.com,https://autosibiza.com,autosibiza,ibiza-ciudad,true,"Alquiler de coches","Autos Ibiza ofrece una amplia flota de vehículos económicos y de gama media.",true,manual,{},30,90,"economico,compacto",120,true,true,true,true,21,4.3
hibus,Hibus,RENTAL,+34973311817,+34666778017,info@hibus.com,https://hibus.com,hibusibiza,ibiza-ciudad,true,"Especialistas en furgonetas","Alquiler de furgonetas y vehículos grandes para grupos.",true,manual,{},60,180,"furgoneta,minibus",80,true,true,true,true,25,4.5
record-go,Record Go,RENTAL,+34973311818,+34666778018,info@recordgoibiza.com,https://recordgo.com,recordgo_ibiza,ibiza-ciudad,true,"Multinacional","Record Go es una de las compañías de alquiler más grandes del mundo.",true,manual,{},25,100,"economico,compacto,familiar,premium",500,true,true,false,true,21,3.9
europcar,Europcar,RENTAL,+34973311819,+34666778019,info@europcaribiza.com,https://europcar.com,europcar_ibiza,ibiza-ciudad,true,"Internacional","Europcar tiene oficina en el aeropuerto y en Ibiza ciudad.",true,manual,{},30,150,"economico,compacto,familiar,premium,suv",600,true,true,true,true,21,4.1
